fold_id,network,best_epoch,best_val_loss,n_train_rows,n_val_rows,elevator_effective__mse,elevator_effective__rmse,elevator_effective__mae,elevator_effective__r2,elevator_effective__pearson_r,throttle_command__mse,throttle_command__rmse,throttle_command__mae,throttle_command__r2,throttle_command__pearson_r
0,longitudinal,9,0.006770904641598463,12419,1993,0.0005649838712997735,0.02376938983798027,0.015163036994636059,0.798898458480835,0.9183450129334658,0.01297682709991932,0.11391587555408478,0.09087211638689041,0.5084275603294373,0.7686003734882052
1,longitudinal,3,0.004124676343053579,13383,1029,0.0007951970910653472,0.02819923870265484,0.014980907551944256,0.4119454622268677,0.7639323602692115,0.007454155944287777,0.08633745461702347,0.06627213954925537,0.8230612874031067,0.9173885900851423
2,longitudinal,24,0.009301785379648209,13414,998,0.0006063628243282437,0.024624435231089592,0.013224232941865921,0.8540953397750854,0.9338726314305847,0.01799720898270607,0.13415367901325226,0.09919083118438721,0.6725949048995972,0.8404206784953677
3,longitudinal,14,0.005475482437759638,13330,1082,0.0005098576075397432,0.02258002758026123,0.01485509891062975,0.8143810033798218,0.9121934349925996,0.010441106744110584,0.10218173265457153,0.08598340302705765,0.8118849992752075,0.9131748697500406
4,longitudinal,7,0.009275342337787151,13153,1259,0.004726806655526161,0.06875177472829819,0.0341019406914711,0.10806858539581299,0.5842591283818088,0.013823878020048141,0.11757498979568481,0.08547362685203552,0.5451077222824097,0.8275345849593422
5,longitudinal,20,0.010089598596096039,13106,1306,0.011610346846282482,0.10775131732225418,0.05397656559944153,-0.1714944839477539,0.20519480893782965,0.00856885313987732,0.09256809949874878,0.062398843467235565,0.891509473323822,0.9549227851517782
6,longitudinal,3,0.0321948304772377,13538,874,0.0031798763666301966,0.056390393525362015,0.04280950129032135,-0.17377734184265137,0.6079918438021493,0.061209786683321,0.24740611016750336,0.22330065071582794,0.6449375152587891,0.931795558198267
7,longitudinal,14,0.004837061278522015,13380,1032,0.0006156866438686848,0.024813033640384674,0.016658933833241463,0.7166654467582703,0.8552974671741596,0.009058435447514057,0.09517581015825272,0.0801851823925972,0.7397664189338684,0.8884415310024587
8,longitudinal,33,0.008357486687600613,13323,1089,0.000559334468562156,0.02365025319159031,0.015391291119158268,0.842783510684967,0.9280131291764601,0.016155637800693512,0.12710483372211456,0.1050228476524353,0.4023060202598572,0.7503632824951124
9,longitudinal,6,0.010210237465798855,13424,988,0.0013061093632131815,0.036140136420726776,0.02430950105190277,0.37822920083999634,0.7266894975136969,0.019114363938570023,0.13825470209121704,0.10226355493068695,0.6024906635284424,0.8095016436460363
10,longitudinal,20,0.005487807095050812,13568,844,0.0005213929689489305,0.02283403091132641,0.016482321545481682,0.8191560506820679,0.9340217982605196,0.01045422162860632,0.10224588960409164,0.08943105489015579,0.74797523021698,0.9325512186113278
11,longitudinal,6,0.01328753400593996,13518,894,0.0005124123417772353,0.022636527195572853,0.014794577844440937,0.5965397357940674,0.8525009246116935,0.026062656193971634,0.16143932938575745,0.14321380853652954,-0.02418673038482666,0.5408663930712714
12,longitudinal,2,0.014112223871052265,13388,1024,0.0006713373586535454,0.02591017819941044,0.017404556274414062,0.6522193551063538,0.8130970962738627,0.02755311317741871,0.16599130630493164,0.1173408180475235,0.38591837882995605,0.6621118987191288
