fold_id,group,output,mse,rmse,mae,r2,pearson_r,max_abs_error,p95_abs_error,saturation_rate_after_clip,mse_after_saturation,n,command_rate_mae
0,circuit,elevator_effective,0.0005649838712997735,0.02376938983798027,0.015163036994636059,0.798898458480835,0.9183450129334658,0.15948304533958435,0.046027202159166336,0.0,0.0005649838712997735,1993,0.003150520147755742
0,circuit,throttle_command,0.01297682709991932,0.11391587555408478,0.09087211638689041,0.5084275603294373,0.7686003734882052,0.4901391267776489,0.21940255165100098,0.0,0.01297682709991932,1993,0.006257978267967701
1,turbulence_05,elevator_effective,0.0007951970910653472,0.02819923870265484,0.014980907551944256,0.4119454622268677,0.7639323602692115,0.21908339858055115,0.05617954209446907,0.0,0.0007951970910653472,1029,0.003089627018198371
1,turbulence_05,throttle_command,0.007454155944287777,0.08633745461702347,0.06627213954925537,0.8230612874031067,0.9173885900851423,0.20427554845809937,0.18141718208789825,0.0,0.007454155944287777,1029,0.0030257818289101124
2,turbulence_08,elevator_effective,0.0006063628243282437,0.024624435231089592,0.013224232941865921,0.8540953397750854,0.9338726314305847,0.18407350778579712,0.041336771100759506,0.0,0.0006063628243282437,998,0.00495446752756834
2,turbulence_08,throttle_command,0.01799720898270607,0.13415367901325226,0.09919083118438721,0.6725949048995972,0.8404206784953677,0.3735826015472412,0.3119840621948242,0.0,0.01799720898270607,998,0.005702334456145763
3,gust,elevator_effective,0.0005098576075397432,0.02258002758026123,0.01485509891062975,0.8143810033798218,0.9121934349925996,0.11874368041753769,0.04740356281399727,0.0,0.0005098576075397432,1082,0.0058919647708535194
3,gust,throttle_command,0.010441106744110584,0.10218173265457153,0.08598340302705765,0.8118849992752075,0.9131748697500406,0.2252575308084488,0.17912118136882782,0.0,0.010441106744110584,1082,0.004940062761306763
4,wind_16kt,elevator_effective,0.004726806655526161,0.06875177472829819,0.0341019406914711,0.10806858539581299,0.5842591283818088,0.525341272354126,0.18288008868694305,0.0,0.004726806655526161,1259,0.008372669108211994
4,wind_16kt,throttle_command,0.013823878020048141,0.11757498979568481,0.08547362685203552,0.5451077222824097,0.8275345849593422,0.40214619040489197,0.2908308804035187,0.0,0.013823878020048141,1259,0.006091451738029718
5,wind_16kt,elevator_effective,0.011610346846282482,0.10775131732225418,0.05397656559944153,-0.1714944839477539,0.20519480893782965,0.6826356053352356,0.22477996349334717,0.0,0.011610346846282482,1306,0.006380295846611261
5,wind_16kt,throttle_command,0.00856885313987732,0.09256809949874878,0.062398843467235565,0.891509473323822,0.9549227851517782,0.3651464879512787,0.23824502527713776,0.0,0.00856885313987732,1306,0.0031222926918417215
6,wind_8kt,elevator_effective,0.0031798763666301966,0.056390393525362015,0.04280950129032135,-0.17377734184265137,0.6079918438021493,0.2393953800201416,0.10843437910079956,0.0,0.0031798763666301966,874,0.005972077138721943
6,wind_8kt,throttle_command,0.061209786683321,0.24740611016750336,0.22330065071582794,0.6449375152587891,0.931795558198267,0.4117617905139923,0.36404579877853394,0.0,0.061209786683321,874,0.004443248733878136
7,gust,elevator_effective,0.0006156866438686848,0.024813033640384674,0.016658933833241463,0.7166654467582703,0.8552974671741596,0.148488387465477,0.05568759888410568,0.0,0.0006156866438686848,1032,0.007354614324867725
7,gust,throttle_command,0.009058435447514057,0.09517581015825272,0.0801851823925972,0.7397664189338684,0.8884415310024587,0.2511516809463501,0.1702079027891159,0.0,0.009058435447514057,1032,0.006963313557207584
8,gust_direction_variant,elevator_effective,0.000559334468562156,0.02365025319159031,0.015391291119158268,0.842783510684967,0.9280131291764601,0.15539439022541046,0.043036144226789474,0.0,0.000559334468562156,1089,0.0047155581414699554
8,gust_direction_variant,throttle_command,0.016155637800693512,0.12710483372211456,0.1050228476524353,0.4023060202598572,0.7503632824951124,0.25212088227272034,0.2267913520336151,0.0,0.016155637800693512,1089,0.005185653921216726
9,normal,elevator_effective,0.0013061093632131815,0.036140136420726776,0.02430950105190277,0.37822920083999634,0.7266894975136969,0.11448487639427185,0.07735880464315414,0.0,0.0013061093632131815,988,0.003490881761536002
9,normal,throttle_command,0.019114363938570023,0.13825470209121704,0.10226355493068695,0.6024906635284424,0.8095016436460363,0.49437206983566284,0.26555174589157104,0.0,0.019114363938570023,988,0.004073680844157934
10,normal,elevator_effective,0.0005213929689489305,0.02283403091132641,0.016482321545481682,0.8191560506820679,0.9340217982605196,0.1234038919210434,0.04861139506101608,0.0,0.0005213929689489305,844,0.0029697229620069265
10,normal,throttle_command,0.01045422162860632,0.10224588960409164,0.08943105489015579,0.74797523021698,0.9325512186113278,0.24783378839492798,0.18406452238559723,0.0,0.01045422162860632,844,0.004104886204004288
11,normal,elevator_effective,0.0005124123417772353,0.022636527195572853,0.014794577844440937,0.5965397357940674,0.8525009246116935,0.14145642518997192,0.04127819463610649,0.0,0.0005124123417772353,894,0.003882071003317833
11,normal,throttle_command,0.026062656193971634,0.16143932938575745,0.14321380853652954,-0.02418673038482666,0.5408663930712714,0.3870794177055359,0.2388530820608139,0.0,0.026062656193971634,894,0.006150767672806978
12,wind_8kt,elevator_effective,0.0006713373586535454,0.02591017819941044,0.017404556274414062,0.6522193551063538,0.8130970962738627,0.12142544984817505,0.062672458589077,0.0,0.0006713373586535454,1024,0.004220865201205015
12,wind_8kt,throttle_command,0.02755311317741871,0.16599130630493164,0.1173408180475235,0.38591837882995605,0.6621118987191288,0.7617883086204529,0.24221642315387726,0.0,0.02755311317741871,1024,0.004784225951880217
