fold_id,group,output,mse,rmse,mae,r2,pearson_r,max_abs_error,p95_abs_error,saturation_rate_after_clip,mse_after_saturation,n,command_rate_mae
0,circuito-completo__landing-01,aileron_command,0.0019599671941250563,0.04427151754498482,0.021593639627099037,0.7169718742370605,0.8861518084079631,0.3174446225166321,0.06967035681009293,0.0,0.0019599671941250563,1005,0.00874856486916542
0,circuito-completo__landing-01,rudder_command,0.00610074307769537,0.07810725271701813,0.053994499146938324,-0.039005160331726074,0.4358801057103141,0.4520430564880371,0.16691428422927856,0.0,0.00610074307769537,1005,0.012671331875026226
0,circuito-completo__landing-02,aileron_command,0.0004745186597574502,0.02178344875574112,0.013060490600764751,0.5831325054168701,0.7653147973525977,0.2670172452926636,0.03712514415383339,0.0,0.0004745186597574502,988,0.007303713355213404
0,circuito-completo__landing-02,rudder_command,0.0023667877539992332,0.04864964261651039,0.03554592654109001,-0.15322256088256836,0.3226037909155482,0.20735730230808258,0.10454635322093964,0.0,0.0023667877539992332,988,0.01033987570554018
1,turbulencia05,aileron_command,0.0002579296415206045,0.01606018841266632,0.010425465181469917,0.49926888942718506,0.7415505234878199,0.09310705214738846,0.03873715549707413,0.0,0.0002579296415206045,1029,0.004434640519320965
1,turbulencia05,rudder_command,0.0023636736441403627,0.04861762747168541,0.031297437846660614,0.2601048946380615,0.5868031622169886,0.2583881914615631,0.1041562631726265,0.0,0.0023636736441403627,1029,0.010030941106379032
2,turbulencia08,aileron_command,0.00039810247835703194,0.019952505826950073,0.013295580632984638,0.5083376169204712,0.7435492468491623,0.21441371738910675,0.03552082180976868,0.0,0.00039810247835703194,998,0.006139588076621294
2,turbulencia08,rudder_command,0.0042668478563427925,0.06532111018896103,0.0399741604924202,0.027001500129699707,0.26870485739708416,0.33362630009651184,0.1459113508462906,0.0,0.0042668478563427925,998,0.021847568452358246
3,voo-2-com-rajada,aileron_command,0.0014136605896055698,0.03759867697954178,0.02099578082561493,0.39784538745880127,0.6622558793839256,0.3630814552307129,0.08883227407932281,0.0,0.0014136605896055698,1082,0.011471398174762726
3,voo-2-com-rajada,rudder_command,0.01382444892078638,0.11757741868495941,0.07652631402015686,0.4585905075073242,0.6775234480209927,0.6339726448059082,0.274992972612381,0.0,0.01382444892078638,1082,0.03419685363769531
4,voo-3-com-16-nos,aileron_command,0.0077622621320188046,0.08810370415449142,0.050718240439891815,0.1938164234161377,0.5330008617574562,0.6168352365493774,0.21841096878051758,0.0,0.0077622621320188046,1259,0.021497156471014023
4,voo-3-com-16-nos,rudder_command,0.025829920545220375,0.16071689128875732,0.11773138493299484,0.2684776186943054,0.6520849263570753,0.8828842639923096,0.336679607629776,0.0007942811755361397,0.025797918438911438,1259,0.043018653988838196
5,voo-com-16-nos,aileron_command,0.021106045693159103,0.145279198884964,0.059634894132614136,0.03405040502548218,0.36839981755088114,0.7936135530471802,0.49685999751091003,0.0,0.021106045693159103,1306,0.014638177119195461
5,voo-com-16-nos,rudder_command,0.03781028836965561,0.19444867968559265,0.12317607551813126,0.2525285482406616,0.5330922292139116,0.8281677961349487,0.44322627782821655,0.0,0.03781028836965561,1306,0.0332205630838871
6,voo-com-8-nos,aileron_command,0.001414778525941074,0.03761354088783264,0.021738436073064804,-0.20956194400787354,0.5315473002083156,0.2784879207611084,0.0641673132777214,0.0,0.001414778525941074,874,0.008320809341967106
6,voo-com-8-nos,rudder_command,0.012415574863553047,0.11142519861459732,0.0631093680858612,0.28093308210372925,0.5425369224115896,0.8316882252693176,0.2688404619693756,0.0,0.012415574863553047,874,0.029096560552716255
7,voo-com-rajada,aileron_command,0.003042758908122778,0.05516120791435242,0.02998148463666439,0.6540206670761108,0.8096717603811968,0.43581917881965637,0.11162963509559631,0.0,0.003042758908122778,1032,0.022717494517564774
