fold_id,group,output,mse,rmse,mae,r2,pearson_r,max_abs_error,p95_abs_error,saturation_rate_after_clip,mse_after_saturation,n,command_rate_mae
0,CONTACT_CANDIDATE,aileron_command,0.0032736484427005053,0.05721580609679222,0.051034633070230484,-32.59725570678711,0.21743314554121784,0.09460105001926422,0.09196839481592178,0.0,0.0032736484427005053,17,0.03614521399140358
0,CONTACT_CANDIDATE,rudder_command,0.007438439875841141,0.08624639362096786,0.057970236986875534,0.44714635610580444,0.8125748185892254,0.17394141852855682,0.16043385863304138,0.0,0.007438439875841141,17,0.03874579444527626
0,FINAL_APPROACH_ESTABLISHED,aileron_command,0.0012137092417106032,0.03483833000063896,0.016999898478388786,0.7251527309417725,0.8823369400519702,0.3174446225166321,0.05218161270022392,0.0,0.0012137092417106032,1764,0.0074506825767457485
0,FINAL_APPROACH_ESTABLISHED,rudder_command,0.004437629133462906,0.066615529358387,0.04531467333436012,-0.10187089443206787,0.3655478925759329,0.4520430564880371,0.13275516033172607,0.0,0.004437629133462906,1764,0.011344749480485916
0,FLARE,aileron_command,0.0011413035681471229,0.033783186227083206,0.01768852025270462,0.3506331443786621,0.7036928429140688,0.2670172452926636,0.05530721694231033,0.0,0.0011413035681471229,212,0.011393520049750805
0,FLARE,rudder_command,0.0024301987141370773,0.04929704591631889,0.0399211049079895,-0.045894742012023926,0.5188388112357485,0.1580072045326233,0.09099797159433365,0.0,0.0024301987141370773,212,0.01166473887860775
1,CONTACT_CANDIDATE,aileron_command,0.000880905136000365,0.029680045321583748,0.024407261982560158,-2.0509941577911377,-0.3185856886662572,0.04874645918607712,0.04619240760803223,0.0,0.000880905136000365,6,0.04105977714061737
1,CONTACT_CANDIDATE,rudder_command,0.006381712853908539,0.07988562434911728,0.07667907327413559,-0.9224125146865845,0.07421914891702901,0.09667554497718811,0.09511176496744156,0.0,0.006381712853908539,6,0.07426726073026657
1,FINAL_APPROACH_ESTABLISHED,aileron_command,0.00021508114878088236,0.01466564554721117,0.00946670863777399,0.2807089686393738,0.6449510453571311,0.06682755053043365,0.03840331360697746,0.0,0.00021508114878088236,908,0.003370403777807951
1,FINAL_APPROACH_ESTABLISHED,rudder_command,0.0021732335444539785,0.04661795124411583,0.029315320774912834,0.19252628087997437,0.589689007556474,0.25431355834007263,0.10350442677736282,0.0,0.0021732335444539785,908,0.008050886914134026
1,FLARE,aileron_command,0.0005637429421767592,0.023743271827697754,0.017265968024730682,0.5863144993782043,0.7975200318308341,0.09310705214738846,0.04368820786476135,0.0,0.0005637429421767592,115,0.012125874869525433
1,FLARE,rudder_command,0.0036576869897544384,0.0604788139462471,0.04457983747124672,0.05182003974914551,0.35139099390982453,0.2583881914615631,0.10906027257442474,0.0,0.0036576869897544384,115,0.024514004588127136
2,FINAL_APPROACH_ESTABLISHED,aileron_command,0.00038592738565057516,0.01964503526687622,0.012588117271661758,0.5110023021697998,0.7442388009479107,0.21441371738910675,0.033719632774591446,0.0,0.00038592738565057516,897,0.006168235559016466
2,FINAL_APPROACH_ESTABLISHED,rudder_command,0.00448598712682724,0.06697751581668854,0.040319059044122696,-0.014374256134033203,0.21799735643472826,0.33362630009651184,0.14905904233455658,0.0,0.00448598712682724,897,0.02256656065583229
2,FLARE,aileron_command,0.0005062316777184606,0.02249959297478199,0.019578710198402405,0.18346631526947021,0.526512776808746,0.04159882292151451,0.03860035911202431,0.0,0.0005062316777184606,101,0.0057291616685688496
2,FLARE,rudder_command,0.0023206262849271297,0.048172879964113235,0.03691105172038078,0.37052714824676514,0.6390272646760395,0.15995760262012482,0.08376702666282654,0.0,0.0023206262849271297,101,0.015136739239096642
3,CONTACT_CANDIDATE,aileron_command,0.010636262595653534,0.10313225537538528,0.09064432233572006,-0.2241586446762085,0.5160282778617804,0.3630814552307129,0.1312435418367386,0.0,0.010636262595653534,75,0.021121986210346222
3,CONTACT_CANDIDATE,rudder_command,0.07330124080181122,0.2707420289516449,0.22525937855243683,0.10524308681488037,0.46499812555616427,0.6339726448059082,0.5202153921127319,0.0,0.07330124080181122,75,0.08846354484558105
3,FINAL_APPROACH_ESTABLISHED,aileron_command,0.0005847293650731444,0.024181177839636803,0.014521464705467224,0.6430665254592896,0.8095014129624837,0.21254587173461914,0.046051762998104095,0.0,0.0005847293650731444,947,0.009990240447223186
