,mean,std
best_epoch,16.46153846153846,16.322864253429834
best_val_loss,0.007385463856805403,0.00790962338994791
n_train_rows,13303.384615384615,297.5011312195688
n_val_rows,1108.6153846153845,297.5011312195688
aileron_command__mse,0.003421990442662858,0.005702052755412082
aileron_command__rmse,0.047101955431012005,0.036106499123634464
aileron_command__mae,0.02517219016758295,0.015053947713315696
aileron_command__r2,-1.0769736308317919,5.451686932222567
aileron_command__pearson_r,0.6437180221544522,0.2551730287693609
rudder_command__mse,0.011348937512733616,0.010531237229832638
rudder_command__rmse,0.09753326383920816,0.04460063521622465
rudder_command__mae,0.06415827658313972,0.030809181832028482
rudder_command__r2,0.22181313771467942,0.23018663019942814
rudder_command__pearson_r,0.5344046366308586,0.15833930852391426
