episode_id,session_id,t_episode_start_s,t_episode_end_s,touchdown_confirmed,contact_candidate_s,touchdown_confirmed_s,rollout_s,complete_s,complete_reason,flare_s,is_standardized_start,approach_maneuvering_s,final_approach_established_s,transient_end_s,transient_detected
circuito-completo__landing-01,circuito-completo,0.0166666666666666,131.2166666666667,True,104.31666666666668,106.51666666666668,106.51666666666668,131.2166666666667,end_of_recording_window,96.07499999999588,True,,,6.016666666666652,True
circuito-completo__landing-02,circuito-completo,296.66666666672006,436.8666666667201,True,415.3666666667201,419.06666666672,419.06666666672,436.8666666667201,end_of_recording_window,406.5166666666211,False,296.66666666672006,320.25833333336544,,
turbulencia05,turbulencia05,0.0166666666666666,119.31666666666668,True,100.71666666666668,104.51666666666668,104.51666666666668,119.31666666666668,end_of_recording_window,92.40833333333052,True,,,1.6166666666666654,True
turbulencia08,turbulencia08,0.0166666666666666,131.7166666666667,True,103.91666666666669,103.91666666666669,103.91666666666669,122.41666666666669,groundspeed_below_threshold,93.791666666663,True,,,4.033333333333325,True
voo-2-com-16-nos,voo-2-com-16-nos,0.0166666666666666,131.3166666666667,True,105.91666666666669,107.41666666666669,107.41666666666669,125.21666666666668,groundspeed_below_threshold,95.59166666666268,True,,,2.0166666666666644,True
voo-2-com-rajada,voo-2-com-rajada,0.0166666666666666,132.8166666666667,True,106.71666666666668,114.21666666666668,114.21666666666668,125.31666666666668,groundspeed_below_threshold,100.70833333332912,True,,,5.999999999999992,True
voo-3-com-16-nos,voo-3-com-16-nos,0.0166666666666666,128.2166666666667,False,111.51666666666668,,,,,107.32499999999546,True,,,2.3333333333333317,True
voo-com-16-nos,voo-com-16-nos,0.0166666666666666,143.61666666666667,True,98.31666666666668,136.91666666666669,136.91666666666669,140.7166666666667,groundspeed_below_threshold,93.7333333333304,True,,,6.233333333333319,True
voo-com-8-nos,voo-com-8-nos,0.0166666666666666,111.21666666666668,True,85.91666666666667,94.81666666666668,94.81666666666668,107.41666666666669,groundspeed_below_threshold,77.19166666666383,True,,,7.333333333333329,True
voo-com-rajada-vindo-da-direita,voo-com-rajada-vindo-da-direita,0.0166666666666666,137.01666666666668,True,107.01666666666668,113.01666666666668,113.01666666666668,131.8166666666667,groundspeed_below_threshold,101.06666666666322,True,,,4.0999999999999925,True
voo-com-rajada,voo-com-rajada,0.016666667,119.016666667,True,98.616666667,105.516666667,105.516666667,119.016666667,end_of_recording_window,94.1,True,,,2.316666667,True
voo-condicoes-normais,voo-condicoes-normais,0.0166666666666666,122.81666666666668,True,89.21666666666667,94.41666666666669,94.41666666666669,118.11666666666667,groundspeed_below_threshold,80.09166666666343,True,,,13.750000000000256,True
voo-normal2,voo-normal2,0.016666667,121.716666667,True,90.816666667,93.516666667,93.516666667,121.716666667,end_of_recording_window,80.74166667,True,,,9.116666667,True
voo-normal3,voo-normal3,0.0166666666666666,124.51666666666668,True,93.01666666666668,96.01666666666668,96.01666666666668,124.51666666666668,end_of_recording_window,84.9666666666642,True,,,6.616666666666665,True
voo2-com-8-nos,voo2-com-8-nos,0.0166666666666666,122.71666666666668,True,98.11666666666667,105.31666666666668,105.31666666666668,116.81666666666668,groundspeed_below_threshold,91.54166666666332,True,,,2.8333333333333295,True
