episode_id,kind,start_s,end_s,duration_s,max_agl_ft_during_gap
circuito-completo__landing-01,unconfirmed_intermittent_contact,104.31666666666668,104.41666666666669,0.20000000000000107,4.152481219133974
circuito-completo__landing-02,unconfirmed_intermittent_contact,415.3666666667201,415.4666666667201,0.20000000000004547,4.881599945467072
circuito-completo__landing-02,unconfirmed_intermittent_contact,417.2666666667201,417.4666666667201,0.3000000000000682,3.920579185804012
turbulencia05,unconfirmed_intermittent_contact,100.71666666666668,100.81666666666668,0.20000000000000284,5.580718653084189
turbulencia05,unconfirmed_intermittent_contact,103.11666666666667,103.21666666666668,0.20000000000000284,3.66026854454799
voo-2-com-16-nos,unconfirmed_intermittent_contact,105.91666666666669,106.21666666666668,0.40000000000000213,3.61826490587232
voo-2-com-16-nos,unconfirmed_intermittent_contact,106.81666666666668,106.91666666666669,0.20000000000000107,3.5794044021174085
voo-3-com-16-nos,unconfirmed_intermittent_contact,111.51666666666668,111.61666666666667,0.20000000000000107,10.54884018281572
voo-3-com-16-nos,unconfirmed_intermittent_contact,117.91666666666669,120.31666666666668,2.5000000000000133,9.438299972887217
voo-3-com-16-nos,unconfirmed_intermittent_contact,121.81666666666668,121.91666666666669,0.20000000000000107,3.4658107951647623
voo-3-com-16-nos,unconfirmed_intermittent_contact,122.81666666666668,128.2166666666667,5.500000000000029,
voo-com-16-nos,unconfirmed_intermittent_contact,98.31666666666668,98.51666666666668,0.29999999999999927,3.904870574164992
voo-com-8-nos,unconfirmed_intermittent_contact,85.91666666666667,86.01666666666667,0.20000000000000284,4.758255725550779
voo-com-8-nos,unconfirmed_intermittent_contact,87.71666666666667,87.81666666666668,0.20000000000000284,4.049828337482481
voo-com-rajada-vindo-da-direita,unconfirmed_intermittent_contact,107.01666666666668,107.11666666666667,0.20000000000000018,8.6499261898418
voo-com-rajada,unconfirmed_intermittent_contact,98.616666667,98.816666667,0.2999999999999996,4.606026923987063
voo-condicoes-normais,unconfirmed_intermittent_contact,89.21666666666667,89.51666666666667,0.4000000000000057,4.542958808936841
voo-condicoes-normais,unconfirmed_intermittent_contact,92.21666666666668,92.61666666666667,0.5000000000000071,3.5334990723964355
voo-normal3,unconfirmed_intermittent_contact,93.01666666666668,93.01666666666668,0.10000000000000053,3.867954632966259
voo-normal3,unconfirmed_intermittent_contact,94.41666666666669,94.61666666666667,0.3000000000000016,3.538489752909617
voo2-com-8-nos,unconfirmed_intermittent_contact,98.11666666666667,98.31666666666668,0.30000000000000426,4.104383691203165
voo2-com-8-nos,unconfirmed_intermittent_contact,100.01666666666668,100.41666666666669,0.5000000000000071,3.59172317961965
