n_raw_samples,n_resampled_samples,effective_fs_raw_hz,filter_order,cutoff_hz,group_delay_ms_at_cutoff,target_hz,episode_id
7842,1313,60.00000000000341,2,4.0,57.94960065881968,10.0,circuito-completo__landing-01
8411,1403,60.00000000005457,2,4.0,57.949600658816784,10.0,circuito-completo__landing-02
7146,1194,60.00000000000341,2,4.0,57.94960065881968,10.0,turbulencia05
7894,1318,60.00000000000341,2,4.0,57.94960065881968,10.0,turbulencia08
7855,1314,60.00000000000341,2,4.0,57.94960065881968,10.0,voo-2-com-16-nos
7957,1329,60.00000000000341,2,4.0,57.94960065881968,10.0,voo-2-com-rajada
7683,1283,60.00000000000341,2,4.0,57.94960065881968,10.0,voo-3-com-16-nos
8603,1437,60.00000000000341,2,4.0,57.94960065881968,10.0,voo-com-16-nos
6639,1113,60.00000000000341,2,4.0,57.94960065881968,10.0,voo-com-8-nos
8209,1371,60.00000000000341,2,4.0,57.94960065881968,10.0,voo-com-rajada-vindo-da-direita
7119,1191,59.99998800000482,2,4.0,57.949601344738156,10.0,voo-com-rajada
7362,1229,60.00000000000341,2,4.0,57.94960065881968,10.0,voo-condicoes-normais
15589,2611,59.99999999995225,2,4.0,57.9496006588226,10.0,voo-inicio-teste
7281,1218,59.99998800000482,2,4.0,57.949601344738156,10.0,voo-normal2
7459,1246,60.00000000000341,2,4.0,57.94960065881968,10.0,voo-normal3
7355,1228,60.00000000000341,2,4.0,57.94960065881968,10.0,voo2-com-8-nos
