episode_id,n_rows_validated,is_monotonic,n_duplicate_timestamps_removed_from_source_file,t_start_s,t_end_s
circuito-completo__landing-01,7842,True,0,0.0166666666666666,131.29999999999785
circuito-completo__landing-02,8411,True,0,296.66666666672006,436.9416666665935
turbulencia05,7146,True,0,0.0166666666666666,119.34166666666242
turbulencia08,7894,True,0,0.0166666666666666,131.816666666665
voo-2-com-16-nos,7855,True,0,0.0166666666666666,131.3333333333312
voo-2-com-rajada,7957,True,0,0.0166666666666666,132.8666666666657
voo-3-com-16-nos,7683,True,0,0.0166666666666666,128.29999999999552
voo-com-16-nos,8603,True,0,0.0166666666666666,143.61666666667435
voo-com-8-nos,6639,True,0,0.0166666666666666,111.22499999999536
voo-com-rajada-vindo-da-direita,8209,True,0,0.0166666666666666,137.06666666666894
voo-com-rajada,7119,True,0,0.016666667,119.05
voo-condicoes-normais,7362,True,0,0.0166666666666666,122.91666666666212
voo-inicio-teste,15589,True,0,0.0166666666666666,261.0333333334198
voo-normal2,7281,True,0,0.016666667,121.8
voo-normal3,7459,True,0,0.0166666666666666,124.6166666666621
voo2-com-8-nos,7355,True,0,0.0166666666666666,122.78333333332844
