episode_id,previous_state,new_state,frame,sim_time_s,agl_ft,groundspeed_kt,vertical_speed_fps,wow_main_left,wow_main_right,wow_nose,compression_main_left,compression_main_right,compression_nose,reason
circuito-completo__landing-01,FLARE,CONTACT_CANDIDATE,1043,104.31666666666668,3.5276365843637363,55.38591088022298,0.6256253287402826,True,False,True,0.0122312037921293,0.0,0.0380170908073435,first_main_gear_contact
circuito-completo__landing-01,CONTACT_CANDIDATE,FLARE,1044,104.41666666666669,3.5273050543808013,55.22388654357638,0.935673257492945,True,False,False,0.0136031145763514,0.0,0.0027531675366005,contact_lost_before_touchdown_confirmation_unconfirmed_intermittent_contact
circuito-completo__landing-01,FLARE,CONTACT_CANDIDATE,1060,106.01666666666668,3.629308196957073,52.76510806479425,-0.5770726455062285,True,False,True,0.0031889986032852,0.0,0.0290387288297517,renewed_main_gear_contact_after_unconfirmed_loss
circuito-completo__landing-01,CONTACT_CANDIDATE,TOUCHDOWN_CONFIRMED,1065,106.51666666666668,3.5033133170079025,52.07161738515471,0.715603284686044,True,True,True,0.0207211143099473,0.0053771864488163,0.023858718140878,both_main_gear_in_contact_for_3_consecutive_samples(>=0.3s_at_dt=0.1000s)
circuito-completo__landing-01,TOUCHDOWN_CONFIRMED,ROLLOUT,1065,106.51666666666668,3.5033133170079025,52.07161738515471,0.715603284686044,True,True,True,0.0207211143099473,0.0053771864488163,0.023858718140878,any_gear_in_contact_for_8_consecutive_samples(>=0.8s_at_dt=0.1000s)
circuito-completo__landing-01,ROLLOUT,COMPLETE,1312,131.2166666666667,3.714627658901761,69.19653361279425,0.4296618706925235,False,False,True,-3.866251089185611e-23,9.677098617325328e-65,0.0054645883155258,end_of_recording_window
circuito-completo__landing-02,FLARE,CONTACT_CANDIDATE,1187,415.3666666667201,3.510810120988037,53.58678142061804,-0.6817059059882129,True,True,True,0.0119133024610674,0.0005398005353893,0.0582470697794791,first_main_gear_contact
circuito-completo__landing-02,CONTACT_CANDIDATE,FLARE,1188,415.4666666667201,3.50789137472159,53.46197542532191,0.095764774919506,False,True,False,0.0063862924165248,0.0164169489984112,0.0067806270512275,contact_lost_before_touchdown_confirmation_unconfirmed_intermittent_contact
circuito-completo__landing-02,FLARE,CONTACT_CANDIDATE,1206,417.2666666667201,3.5280143870530947,51.3525331442854,-1.1301466373156095,False,True,True,-2.916220017499715e-17,0.0237940637441729,0.0992959967695466,renewed_main_gear_contact_after_unconfirmed_loss
circuito-completo__landing-02,CONTACT_CANDIDATE,FLARE,1208,417.4666666667201,3.535719858911074,51.12265765465507,-0.075718576548625,False,True,False,1.9398549756467445e-18,0.0375187933975593,-0.0038680451522046,contact_lost_before_touchdown_confirmation_unconfirmed_intermittent_contact
circuito-completo__landing-02,FLARE,CONTACT_CANDIDATE,1219,418.56666666672,3.5967621642978265,49.91007672099518,-1.1817232048924984,False,True,True,7.220330366344283e-27,0.0009429710909801,0.0583326148389308,renewed_main_gear_contact_after_unconfirmed_loss
circuito-completo__landing-02,CONTACT_CANDIDATE,TOUCHDOWN_CONFIRMED,1224,419.06666666672,3.503620799110146,49.425513386933595,-0.3900865139383012,True,True,True,3.930033083376788e-05,0.0285828941594469,0.024349297392907,both_main_gear_in_contact_for_3_consecutive_samples(>=0.3s_at_dt=0.1000s)
circuito-completo__landing-02,TOUCHDOWN_CONFIRMED,ROLLOUT,1224,419.06666666672,3.503620799110146,49.425513386933595,-0.3900865139383012,True,True,True,3.930033083376788e-05,0.0285828941594469,0.024349297392907,any_gear_in_contact_for_8_consecutive_samples(>=0.8s_at_dt=0.1000s)
circuito-completo__landing-02,ROLLOUT,COMPLETE,1402,436.8666666667201,3.400465465247733,5.881178422599298,-0.0520320246546962,True,True,True,0.0790076372058899,0.0729827520125438,0.2343008199159286,end_of_recording_window
turbulencia05,FLARE,CONTACT_CANDIDATE,1007,100.71666666666668,3.541648846153649,57.51928812174743,0.1646967742196682,True,False,True,0.0014172728664588,0.0,0.0506120310322154,first_main_gear_contact
turbulencia05,CONTACT_CANDIDATE,FLARE,1008,100.81666666666668,3.5202636273435997,57.35481076850452,0.8522559106706739,True,False,False,0.0112335493617189,0.0,0.0106773125735672,contact_lost_before_touchdown_confirmation_unconfirmed_intermittent_contact
turbulencia05,FLARE,CONTACT_CANDIDATE,1031,103.11666666666667,3.5524417420155734,53.73593261580558,-1.2874894582588212,True,True,True,0.0022813505671721,0.0049132306825187,0.0329430394373138,renewed_main_gear_contact_after_unconfirmed_loss
