column_name,role,exclusion_reason,duplicate_of
/rotors[0]/main[0]/blade[0]/position-deg[0],excluded,constant_or_not_applicable_to_c172p,
/rotors[0]/main[0]/blade[1]/position-deg[0],excluded,not_in_v1_feature_schema_sections14_15,
/rotors[0]/main[0]/blade[2]/position-deg[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/ski[0]/atan-actual[0],excluded,not_in_v1_feature_schema_sections14_15,
/fdm[0]/jsbsim[0]/gear[0]/unit[23]/z-position[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/gear[0]/unit[24]/z-position[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/gear[0]/unit[25]/z-position[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/contact[0]/unit[4]/z-position[0],excluded,not_in_v1_feature_schema_sections14_15,
/fdm[0]/jsbsim[0]/contact[0]/unit[5]/z-position[0],excluded,duplicate_unit_or_exact,/fdm[0]/jsbsim[0]/contact[0]/unit[4]/z-position[0]
/fdm[0]/jsbsim[0]/wing-damage[0]/left-wing[0],excluded,forbidden_input_family_section10,
/fdm[0]/jsbsim[0]/wing-damage[0]/right-wing[0],excluded,forbidden_input_family_section10,
/velocities[0]/groundspeed-kt[0],flight_manager_only,,
/environment[0]/aircraft-effects[0]/fog-level[0],excluded,constant_or_not_applicable_to_c172p,
/environment[0]/aircraft-effects[0]/frost-level[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/ground[0]/nose-gear-ground-effect-speed-kt-actual[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/ground[0]/left-gear-ground-effect-speed-kt-actual[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/ground[0]/right-gear-ground-effect-speed-kt-actual[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/ground[0]/left-wing-ground-effect-speed-kt-actual[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/ground[0]/right-wing-ground-effect-speed-kt-actual[0],excluded,not_in_v1_feature_schema_sections14_15,
/fdm[0]/jsbsim[0]/ground[0]/tail-ground-effect-speed-kt-actual[0],excluded,not_in_v1_feature_schema_sections14_15,
/fdm[0]/jsbsim[0]/ground[0]/nose-tyre-smoke-ground-effect-speed-kt-actual[0],excluded,not_in_v1_feature_schema_sections14_15,
/fdm[0]/jsbsim[0]/ground[0]/left-tyre-smoke-ground-effect-speed-kt-actual[0],excluded,not_in_v1_feature_schema_sections14_15,
/fdm[0]/jsbsim[0]/ground[0]/right-tyre-smoke-ground-effect-speed-kt-actual[0],excluded,not_in_v1_feature_schema_sections14_15,
/fdm[0]/jsbsim[0]/hydro[0]/left-ground-effect-speed-kt-actual[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/hydro[0]/right-ground-effect-speed-kt-actual[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/hydro[0]/spray-wake-speed-kt-actual[0],excluded,constant_or_not_applicable_to_c172p,
/position[0]/altitude-agl-m[0],excluded,duplicate_unit_or_exact,/position[0]/altitude-agl-ft[0]
