episode_id,detected,reason,t_start_s,t_transient_end_s,duration_removed_s,n_samples_removed_from_baseline_core,n_samples_total,airspeed_kt_before,airspeed_kt_after,flaps_before,flaps_after,distance_to_threshold_m_at_end,agl_ft_at_end
circuito-completo__landing-01,True,auto_detected,0.0166666666666666,6.016666666666652,5.999999999999986,332,7842,97.02381896972656,71.85054016113281,0.0,0.6600000262260437,2785.4403461984043,811.6134809832565
turbulencia05,True,auto_detected,0.0166666666666666,1.6166666666666654,1.5999999999999988,95,7146,82.44499969482422,72.6864013671875,0.0,0.3333334028720855,2928.422539574362,723.5747316314793
turbulencia08,True,auto_detected,0.0166666666666666,4.033333333333325,4.016666666666659,225,7894,82.44499206542969,67.03544616699219,0.0,0.6666668057441711,2835.64071307826,724.6332478162105
voo-2-com-16-nos,True,auto_detected,0.0166666666666666,2.0166666666666644,1.9999999999999978,120,7855,82.43687438964844,74.97927856445312,0.3333334028720855,0.6666668057441711,2913.1144183471038,729.3746582727983
voo-2-com-rajada,True,auto_detected,0.0166666666666666,5.999999999999992,5.983333333333325,344,7957,82.43694305419922,65.26534271240234,0.0,0.6600000262260437,2765.83760509359,733.5278829163907
voo-3-com-16-nos,True,auto_detected,0.0166666666666666,2.3333333333333317,2.316666666666665,120,7683,82.43689727783203,73.77215576171875,0.0,0.3333334028720855,2900.9951243397236,731.9943839892258
voo-com-16-nos,True,auto_detected,0.0166666666666666,6.233333333333319,6.216666666666653,359,8603,82.43694305419922,71.08061218261719,0.0,0.9933333992958068,2748.19327083255,708.3825523800195
voo-com-8-nos,True,auto_detected,0.0166666666666666,7.333333333333329,7.316666666666662,425,6639,82.43694305419922,68.15766143798828,0.0,0.9933333992958068,2711.629111138122,705.6802157712771
voo-com-rajada-vindo-da-direita,True,auto_detected,0.0166666666666666,4.0999999999999925,4.083333333333326,229,8209,82.43694305419922,73.17737579345703,0.0,0.6666668057441711,2829.7679430552216,705.4827428880776
voo-com-rajada,True,auto_detected,0.016666667,2.316666667,2.3,121,7119,82.43689728,74.6205368,0.0,0.333333403,2900.9030189978316,725.2347889
voo-condicoes-normais,True,auto_detected,0.0166666666666666,13.750000000000256,13.73333333333359,810,7362,101.64679718017578,74.97830963134766,0.0,0.9933333992958068,2369.759786945835,715.5399129871936
voo-normal2,True,auto_detected,0.016666667,9.116666667,9.1,531,7281,101.6468887,74.95572662,0.0,0.660000026,2569.626686320849,725.3958535
voo-normal3,True,auto_detected,0.0166666666666666,6.616666666666665,6.599999999999999,382,7459,101.64680480957033,74.96800994873047,0.0,0.9933333992958068,2687.8222195275766,748.7217223309567
voo2-com-8-nos,True,auto_detected,0.0166666666666666,2.8333333333333295,2.816666666666663,156,7355,82.43694305419922,74.68818664550781,0.0,0.3333334028720855,2880.212756395114,718.1179786826943
